,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2024-05-17 09:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,368.35,376.65,347.15,349.15,271590,685470,0
1,2024-05-17 09:16:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,350.95,359.65,342.95,357.25,230700,685470,1
2,2024-05-17 09:17:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,344.7,349.9,341.05,342.35,144255,685470,2
3,2024-05-17 09:18:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,335.25,341.6,334.75,335.15,130860,872595,3
4,2024-05-17 09:19:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,333,346.8,329.05,342.9,185235,872595,4
5,2024-05-17 09:20:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,344.2,346.9,331.8,332.15,162945,872595,5
6,2024-05-17 09:21:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,330.75,332.9,320.45,320.65,188340,1041090,6
7,2024-05-17 09:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,315.55,322.9,310.7,322.9,155040,1041090,7
8,2024-05-17 09:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,320.05,321.65,314.5,319.15,97320,1041090,8
9,2024-05-17 09:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,317.9,327.6,315.15,320.25,117225,1108680,9
10,2024-05-17 09:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,320.2,323.5,316.65,318.35,114285,1108680,10
11,2024-05-17 09:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,315.6,324.2,315.35,324.1,106785,1108680,11
12,2024-05-17 09:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,323.6,333,321.75,329,140760,1153920,12
13,2024-05-17 09:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,323.45,326.45,318,322.6,91425,1153920,13
14,2024-05-17 09:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,319.95,338.6,319.25,327,176715,1153920,14
15,2024-05-17 09:30:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,326.2,355.65,326.2,343.4,354780,1204980,15
16,2024-05-17 09:31:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,342,342,308.55,321.1,261450,1204980,16
17,2024-05-17 09:32:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,319.3,321.75,315.9,316,109770,1204980,17
18,2024-05-17 09:33:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,317.4,327.75,305.35,322.95,196005,1254270,18
19,2024-05-17 09:34:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,323.55,327,315.3,315.3,76770,1254270,19
20,2024-05-17 09:35:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,312.45,320,309.45,320,118155,1254270,20
21,2024-05-17 09:36:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,314.65,325.3,311.45,314.05,130260,1278990,21
22,2024-05-17 09:37:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,311.1,316.8,310.75,315.2,66360,1278990,22
23,2024-05-17 09:38:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,315,325,312.05,323.15,74145,1278990,23
