,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
0,45000.0,2440075.0,1173100.0,276.9,45400.0,1194400.0,265575.0,275.05,551.95,13798.750000000002,-151.95000000000437,-0.33627709498196756,-0.2752966754235064
1,45100.0,2374975.0,1930075.0,209.0,45400.0,1194400.0,265575.0,275.05,484.05,12101.25,-184.0500000000029,-0.4073168761528814,-0.38022931515339925
2,45000.0,2440075.0,1173100.0,276.9,45300.0,2801750.0,573900.0,210.05,486.95,12173.75,-186.95000000000437,-0.4137348003085127,-0.3839203203614424
3,45100.0,2374975.0,1930075.0,209.0,45300.0,2801750.0,573900.0,210.05,419.05,10476.25,-219.0500000000029,-0.4847745814794265,-0.5227299844887314
4,45200.0,5808700.0,4299350.0,150.55,45400.0,1194400.0,265575.0,275.05,425.6,10640.0,-225.60000000000582,-0.4992702377619721,-0.5300751879699385
5,45000.0,2440075.0,1173100.0,276.9,45200.0,5573200.0,3331225.0,155.75,432.65,10816.25,-232.65000000000146,-0.5148724326920237,-0.537732578296548
6,45200.0,5808700.0,4299350.0,150.55,45300.0,2801750.0,573900.0,210.05,360.6,9015.0,-260.6000000000058,-0.5767279430885173,-0.7226844148641315
7,45100.0,2374975.0,1930075.0,209.0,45200.0,5573200.0,3331225.0,155.75,364.75,9118.75,-264.75,-0.5859122138629375,-0.7258396161754627
8,45300.0,5254300.0,3348375.0,105.3,45400.0,1194400.0,265575.0,275.05,380.35,9508.75,-280.3500000000058,-0.620436219665639,-0.7370842644932452
9,45000.0,2440075.0,1173100.0,276.9,45100.0,4001700.0,2254300.0,113.15,390.04999999999995,9751.249999999998,-290.0500000000029,-0.6419030694275608,-0.7436226124855864
10,45200.0,5808700.0,4299350.0,150.55,45200.0,5573200.0,3331225.0,155.75,306.3,7657.5,-306.3000000000029,-0.6778655754720282,-1.0000000000000095
11,45300.0,5254300.0,3348375.0,105.3,45300.0,2801750.0,573900.0,210.05,315.35,7883.750000000001,-315.3500000000058,-0.6978939249921842,-1.0000000000000184
12,45100.0,2374975.0,1930075.0,209.0,45100.0,4001700.0,2254300.0,113.15,322.15,8053.749999999999,-322.15000000000146,-0.7129428505984747,-1.0000000000000047
13,45400.0,4535250.0,2639075.0,69.9,45400.0,1194400.0,265575.0,275.05,344.95000000000005,8623.750000000002,-344.95000000000437,-0.7634010129254877,-1.0000000000000124
14,45000.0,2440075.0,1173100.0,276.9,45000.0,7724850.0,4165800.0,81.3,358.2,8955.0,-358.20000000000437,-0.7927242870848226,-1.0000000000000122
15,45300.0,5254300.0,3348375.0,105.3,45200.0,5573200.0,3331225.0,155.75,261.05,6526.25,-361.0500000000029,-0.7990315573756951,-1.3830683777054316
16,45200.0,5808700.0,4299350.0,150.55,45100.0,4001700.0,2254300.0,113.15,263.70000000000005,6592.500000000001,-363.70000000000437,-0.8048962122075654,-1.3792188092529554
17,45400.0,4535250.0,2639075.0,69.9,45300.0,2801750.0,573900.0,210.05,279.95000000000005,6998.750000000001,-379.95000000000437,-0.8408587182520327,-1.3572066440435946
18,45100.0,2374975.0,1930075.0,209.0,45000.0,7724850.0,4165800.0,81.3,290.3,7257.5,-390.3000000000029,-0.8637640682557365,-1.3444712366517495
19,45300.0,5254300.0,3348375.0,105.3,45100.0,4001700.0,2254300.0,113.15,218.45,5461.25,-418.45000000000437,-0.9260621941112324,-1.9155413138018054
20,45500.0,6027700.0,2723900.0,45.5,45400.0,1194400.0,265575.0,275.05,320.55,8013.75,-420.5500000000029,-0.9307096564308219,-1.3119638121977941
